Algoritma,Klaster,Total Kurir,Jarak Min (KM),Jarak Rata-rata (KM),Std Deviasi
ACO,Barat,2,146.64,151.67,1.77
DPSO,Barat,2,247.76,1015.74,347.26
GA,Barat,2,192.53,198.92,6.04
MA,Barat,2,163.87,699.04,2.05
ACO,Pusat,1,44.46,44.57,0.14
DPSO,Pusat,1,61.26,265.36,256.08
GA,Pusat,1,53.83,60.23,3.99
MA,Pusat,1,53.83,400.53,0.0
ACO,Selatan,2,114.11,117.49,2.45
DPSO,Selatan,2,283.14,1759.85,228.57
GA,Selatan,2,176.68,183.1,3.64
MA,Selatan,2,132.86,847.27,3.53
ACO,Timur,2,76.64,77.46,0.49
DPSO,Timur,2,157.15,1169.18,331.23
GA,Timur,2,117.3,127.31,9.91
MA,Timur,2,100.03,698.9,0.79
ACO,Utara,1,71.38,74.44,1.97
DPSO,Utara,2,170.35,1018.31,233.59
GA,Utara,1,110.37,137.41,13.04
MA,Utara,1,92.36,577.82,0.86
