Algoritma,Klaster,Waktu Terbaik (Detik),Waktu Rata-rata (Detik),Std Deviasi Waktu (Detik)
ACO,Barat,11.004,11.286,0.0
DPSO,Barat,0.809,0.754,0.0
GA,Barat,2.598,2.606,0.0
MA,Barat,677.641,462.526,0.0
ACO,Pusat,6.531,6.338,0.0
DPSO,Pusat,0.422,0.395,0.0
GA,Pusat,1.701,1.703,0.0
MA,Pusat,85.028,92.605,0.0
ACO,Selatan,17.53,17.786,0.0
DPSO,Selatan,1.34,1.045,0.0
GA,Selatan,3.531,3.513,0.0
MA,Selatan,367.306,359.596,0.0
ACO,Timur,13.281,13.339,0.0
DPSO,Timur,0.839,0.834,0.0
GA,Timur,2.895,2.925,0.0
MA,Timur,305.105,314.195,0.0
ACO,Utara,9.815,9.844,0.0
DPSO,Utara,0.607,0.64,0.0
GA,Utara,2.389,2.379,0.0
MA,Utara,270.73,276.445,0.0
