,UPTD Gudang Farmasi ,Puskesmas Asemrowo ,Puskesmas Balongsari ,Puskesmas Bangkingan ,Puskesmas Benowo ,Puskesmas Jeruk ,Puskesmas Lidah Kulon ,Puskesmas Lontar ,Puskesmas Made ,Puskesmas Manukan Kulon ,Puskesmas Sememi ,Puskesmas Simomulyo ,Puskesmas Tanjungsari ,Pustu Babat Jerawat,Pustu Banjarsugihan,Pustu Buntaran,Pustu Kandangan,Pustu Pakal,Pustu Putat Gede,Pustu Romo Kalisari,Pustu Simohilir,Pustu Sonokawijenan,Pustu Sumber Rejo,Pustu Tambak Dono,Pustu Tambak Langon
UPTD Gudang Farmasi ,0.0,16.59,18.96,22.26,27.68,26.98,25.67,22.05,27.34,22.95,24.71,16.8,17.94,26.74,23.36,22.21,22.29,31.29,15.28,35.62,17.5,20.21,37.13,17.0,23.11
Puskesmas Asemrowo ,13.82,0.0,9.17,24.11,17.88,22.21,20.9,16.37,17.35,13.15,14.91,5.74,6.55,16.95,13.56,11.7,12.5,21.81,9.6,23.14,5.9,12.33,27.33,9.16,11.16
Puskesmas Balongsari ,16.74,8.14,0.0,18.73,9.28,15.39,14.07,11.51,8.75,4.55,6.31,8.15,2.56,8.34,4.96,3.81,3.89,12.89,10.52,20.74,8.85,7.86,18.73,6.06,7.2
Puskesmas Bangkingan ,22.02,25.0,18.29,0.0,23.36,8.02,6.7,12.87,11.84,18.39,17.84,22.85,17.27,20.65,18.27,21.54,19.37,26.22,17.68,34.55,23.54,18.32,32.05,17.65,24.33
Puskesmas Benowo ,24.85,16.25,10.09,23.48,0.0,17.46,16.14,13.91,9.32,9.13,4.69,16.26,10.67,3.2,9.54,10.94,6.06,3.92,18.62,20.72,16.95,15.97,9.75,14.17,15.31
Puskesmas Jeruk ,25.89,23.09,16.98,7.98,17.48,0.0,1.32,11.4,6.89,16.8,14.08,19.82,15.96,16.89,16.8,20.05,15.61,20.34,14.51,29.2,20.51,17.01,26.17,16.33,24.42
Puskesmas Lidah Kulon ,24.58,21.77,15.66,6.66,16.16,1.32,0.0,10.08,5.57,15.48,12.77,18.5,14.64,15.57,15.48,18.73,14.29,19.02,13.2,27.89,19.19,15.69,24.86,15.01,23.1
Puskesmas Lontar ,18.57,14.05,10.37,13.96,13.26,11.37,10.05,0.0,6.25,8.87,9.51,13.21,9.35,12.32,8.75,13.62,11.04,16.87,7.91,29.95,13.9,10.4,22.7,9.73,16.41
Puskesmas Made ,24.53,16.19,10.03,11.99,8.66,6.92,5.61,6.3,0.0,7.63,4.92,19.17,10.61,7.72,8.21,10.89,6.44,12.27,13.87,29.08,19.87,16.36,18.11,15.69,15.25
Puskesmas Manukan Kulon ,20.25,11.65,5.49,20.08,8.69,14.27,12.95,9.02,7.63,0.0,5.72,11.66,6.07,7.75,0.74,6.34,3.3,12.3,14.03,24.25,12.36,11.37,18.14,9.57,10.71
Puskesmas Sememi ,22.5,13.9,7.74,16.71,4.0,11.64,10.33,9.6,5.0,6.78,0.0,13.91,8.32,3.07,7.19,8.59,3.71,7.62,16.27,24.42,14.6,13.62,13.45,11.82,12.96
Puskesmas Simomulyo ,13.44,6.53,8.04,21.5,16.76,20.12,18.81,14.28,16.23,12.03,13.79,0.0,7.02,15.82,12.44,11.29,11.37,20.37,9.8,25.91,0.7,9.29,26.21,6.08,13.45
Puskesmas Tanjungsari ,14.72,6.12,1.79,16.71,10.51,15.34,14.02,9.49,9.97,5.78,7.54,6.13,0.0,9.57,6.18,5.04,5.12,14.12,8.49,21.37,6.83,5.84,19.95,4.04,7.83
Pustu Babat Jerawat,23.03,14.43,8.26,19.21,4.52,14.14,12.82,12.09,7.5,7.31,2.87,14.44,8.85,0.0,7.71,9.12,4.24,8.13,16.8,24.94,15.13,14.15,13.97,12.35,13.49
Pustu Banjarsugihan,20.65,12.05,5.89,19.86,9.09,16.93,15.62,8.8,8.21,0.84,6.12,12.06,6.47,8.16,0.0,6.75,3.71,12.7,14.43,24.65,12.76,11.77,18.54,9.97,11.11
Pustu Buntaran,19.41,10.81,4.64,21.4,10.91,17.02,15.71,14.18,10.38,6.18,7.94,10.82,5.23,9.98,6.59,0.0,5.53,14.53,13.18,22.35,11.51,10.53,20.36,8.73,8.81
