,UPTD Gudang Farmasi ,Puskesmas Dr. Soetomo ,Puskesmas Gundih ,Puskesmas Kedungdoro ,Puskesmas Ketabang ,Puskesmas Peneleh ,Puskesmas Simolawang ,Puskesmas Tambakrejo ,Puskesmas Tembok Dukuh ,Pustu Kapasari,Pustu Asem Jajar,Pustu Embong Kaliasin,Pustu Kapasan,Pustu Granting,Pustu Kebondalem,Pustu Keputran,Pustu Sidodadi
UPTD Gudang Farmasi ,0.0,12.76,17.15,15.88,12.04,14.41,17.02,12.95,14.41,12.18,15.26,12.75,15.73,15.21,17.25,9.71,16.93
Puskesmas Dr. Soetomo ,12.02,0.0,8.37,6.53,6.41,9.19,9.09,7.33,5.63,6.55,6.48,2.12,7.94,7.29,9.9,4.23,9.14
Puskesmas Gundih ,13.84,7.71,0.0,9.68,7.49,7.26,10.22,8.9,2.56,7.81,2.69,5.59,8.96,8.31,9.6,8.22,8.9
Puskesmas Kedungdoro ,12.46,6.34,8.81,0.0,8.13,8.41,11.26,9.72,6.07,8.63,6.92,4.21,9.78,9.13,10.64,6.85,9.94
Puskesmas Ketabang ,11.31,6.78,8.47,7.39,0.0,4.86,5.24,3.48,6.64,2.71,7.16,5.09,4.09,3.44,6.05,4.64,5.3
Puskesmas Peneleh ,14.0,9.59,7.75,10.43,4.6,0.0,6.57,4.7,6.31,3.62,6.44,8.13,4.77,4.11,5.94,7.45,5.25
Puskesmas Simolawang ,13.99,9.57,9.33,10.42,5.26,6.94,0.0,4.37,7.89,3.72,8.02,7.89,3.45,2.93,1.54,7.44,2.82
Puskesmas Tambakrejo ,12.12,7.73,8.85,8.57,3.3,5.24,4.86,0.0,7.41,3.01,7.54,6.05,3.58,3.06,5.1,5.59,4.78
Puskesmas Tembok Dukuh ,11.61,5.49,3.12,7.46,5.26,5.48,8.55,6.68,0.0,5.59,1.24,3.37,6.74,6.09,7.92,6.0,7.22
Pustu Kapasari,11.54,7.12,7.06,7.97,2.81,3.46,3.22,1.93,5.62,0.0,5.75,5.44,2.07,1.42,4.03,4.99,3.27
Pustu Asem Jajar,12.0,5.88,3.47,7.85,5.65,5.87,8.94,7.07,0.73,5.98,0.0,3.76,7.13,6.48,8.31,6.39,7.61
Pustu Embong Kaliasin,9.9,2.12,6.25,4.95,4.83,7.06,7.52,5.75,3.51,4.98,4.36,0.0,6.37,5.71,8.32,2.65,7.57
Pustu Kapasan,12.61,8.2,8.13,9.04,3.88,4.53,3.28,3.0,6.69,2.34,6.83,6.51,0.0,1.48,3.17,6.06,2.84
Pustu Granting,12.34,7.92,8.17,8.76,3.6,4.25,2.35,2.72,6.73,2.07,6.86,6.24,1.79,0.0,3.15,5.78,2.99
Pustu Kebondalem,15.22,10.8,8.95,11.65,6.72,6.22,1.56,5.6,7.51,4.93,7.64,9.12,4.19,4.08,0.0,8.66,2.53
Pustu Keputran,9.27,4.25,8.81,5.69,4.35,6.73,7.03,5.27,6.07,4.5,6.92,2.56,5.89,5.23,7.84,0.0,7.09
Pustu Sidodadi,13.83,9.41,9.09,10.26,5.1,5.48,2.74,4.21,7.65,3.56,7.78,7.73,2.8,2.69,2.53,7.28,0.0
