,UPTD Gudang Farmasi ,Puskesmas Balas Klumprik ,Puskesmas Banyu Urip ,Puskesmas Dukuh Kupang ,Puskesmas Gayungan ,Puskesmas Jagir ,Puskesmas Jemursari ,Puskesmas Kebonsari ,Puskesmas Kedurus ,Puskesmas Ngagel Rejo ,Puskesmas Pakis ,Puskesmas Putat Jaya ,Puskesmas Sawahan ,Puskesmas Sidosermo ,Puskesmas Siwalankerto ,Puskesmas Wiyung ,Puskesmas Wonokromo ,Pustu Babatan,Pustu Bendul Merisi,Pustu Dukuh Menanggal,Pustu Gunungsari,Pustu Jambangan,Pustu Karah,Pustu Kebraon,Pustu Ketintang,Pustu Margorejo,Pustu Pagesangan,Pustu Petemon,Pustu Pradah Kali Kendal,Pustu Putat Jaya,Pustu Sawunggaling,Pustu Simokatrungan,Pustu Warugunung
UPTD Gudang Farmasi ,0.0,15.11,13.83,15.82,11.43,7.71,6.54,13.09,16.46,7.72,12.09,14.37,13.67,6.63,10.53,16.26,11.06,24.08,9.72,10.17,14.16,14.74,12.6,16.5,12.6,9.62,15.54,15.29,19.69,17.4,13.48,14.07,15.84
Puskesmas Balas Klumprik ,14.92,0.0,14.61,13.52,8.04,11.64,9.99,6.83,5.45,12.6,12.87,15.14,14.44,14.39,10.92,4.79,10.19,14.72,15.44,8.83,9.34,8.09,10.34,5.5,10.34,13.08,6.86,15.54,15.42,16.02,10.16,14.85,5.46
Puskesmas Banyu Urip ,11.35,15.44,0.0,5.5,11.76,5.97,8.97,12.59,12.57,7.13,4.14,5.98,4.15,9.33,10.86,16.59,7.42,15.39,9.76,10.5,11.0,11.57,11.31,15.95,11.31,8.97,14.46,3.39,10.94,4.51,7.43,0.49,16.16
Puskesmas Dukuh Kupang ,12.88,12.89,5.6,0.0,11.31,7.5,10.5,11.26,8.65,8.89,4.04,3.82,5.99,10.86,12.4,12.4,8.95,12.75,11.29,12.03,8.98,10.25,9.98,12.02,9.98,10.51,13.14,6.23,8.36,4.1,7.24,5.83,14.33
Puskesmas Gayungan ,10.06,9.02,9.75,11.74,0.0,6.79,5.13,3.04,10.37,7.75,8.01,10.29,9.59,9.53,6.63,10.18,6.98,18.6,10.58,6.05,9.28,4.7,6.2,10.42,6.2,8.22,4.83,11.21,15.61,13.31,9.4,9.99,9.75
Puskesmas Jagir ,9.95,11.48,8.02,10.01,7.8,0.0,5.01,9.46,8.63,6.07,6.28,8.55,7.85,5.05,6.9,12.63,5.25,18.27,4.43,6.54,8.45,8.39,6.89,12.87,6.89,4.81,11.91,9.48,13.88,11.58,7.67,8.26,12.21
Puskesmas Jemursari ,6.38,10.28,9.01,11.0,6.61,6.04,0.0,8.26,11.63,7.01,7.27,9.54,8.84,7.04,5.71,11.44,6.24,19.26,7.96,5.35,9.34,9.92,7.78,11.68,7.78,7.48,10.72,10.47,14.87,12.57,8.66,9.25,11.01
Puskesmas Kebonsari ,10.58,6.64,10.27,10.94,3.34,7.31,5.65,0.0,6.86,8.27,8.53,10.8,10.1,10.05,7.54,7.8,6.97,16.0,11.1,7.17,6.68,2.1,4.61,8.04,4.61,8.74,3.03,11.73,13.03,13.83,7.34,10.51,7.37
Puskesmas Kedurus ,12.31,5.34,9.47,9.28,7.11,6.93,11.31,8.15,0.0,8.7,7.72,11.46,9.3,10.29,12.25,4.86,5.94,11.65,10.72,10.16,5.09,6.36,6.09,4.47,6.09,9.94,8.18,11.3,11.18,11.78,5.92,9.7,6.78
Puskesmas Ngagel Rejo ,8.0,12.86,6.87,8.88,9.18,3.36,6.39,10.84,10.3,0.0,5.15,7.41,6.73,6.25,8.29,14.01,5.45,17.14,7.15,7.92,10.12,9.29,8.5,14.25,8.5,6.4,13.3,8.34,12.76,10.44,6.55,7.11,13.59
Puskesmas Pakis ,9.97,14.06,3.81,3.84,10.38,4.59,7.59,11.21,9.8,5.75,0.0,1.95,3.65,7.95,9.48,15.21,6.04,14.46,8.38,9.12,9.62,10.2,9.93,13.17,9.93,7.59,13.09,5.28,10.07,7.38,6.05,4.05,14.79
Puskesmas Putat Jaya ,13.42,14.0,5.84,3.24,12.42,8.04,11.05,12.37,9.76,9.21,2.18,0.0,6.23,11.4,12.94,13.51,9.49,13.86,11.84,12.57,10.09,11.36,11.09,13.13,11.09,11.05,14.25,7.3,9.47,5.91,8.05,6.07,15.44
Puskesmas Sawahan ,10.03,14.12,3.11,5.37,10.45,4.66,7.66,11.27,9.87,5.82,2.83,3.64,0.0,8.01,9.55,15.28,6.11,15.98,8.45,9.19,9.69,10.26,10.0,13.24,10.0,7.66,13.15,4.28,11.59,6.67,6.11,3.35,14.85
Puskesmas Sidosermo ,5.89,15.21,9.96,11.95,11.53,5.11,6.14,13.19,11.56,6.35,8.22,10.49,9.79,0.0,10.63,16.36,7.18,20.21,7.12,10.27,11.38,11.02,10.23,16.61,10.23,7.97,15.65,11.42,15.82,13.52,9.61,10.2,15.94
