,UPTD Gudang Farmasi ,Puskesmas Gading ,Puskesmas Gunung Anyar ,Puskesmas Kalijudan ,Puskesmas Kalirungkut ,Puskesmas Keputih ,Puskesmas Klampis Ngasem ,Puskesmas Medokan Ayu ,Puskesmas Menur ,Puskesmas Mojo ,Puskesmas Mulyorejo ,Puskesmas Pacar Keling ,Puskesmas Pucang Sewu ,Puskesmas Rangkah ,Puskesmas Tenggilis ,Pustu Baratajaya,Pustu Gebang Putih,Pustu Gubeng Klingsingan,Pustu Karang Empat,Pustu Kutisari,Pustu Medokan Ayu,Pustu Medokan Semampir,Pustu Penjaringan Sari,Pustu Rungkut Kidul,Pustu Rungkut Menanggal,Pustu Semolowaru,Pustu Sutorejo,Pustu Mulyorejo / wisma permai
UPTD Gudang Farmasi ,0.0,15.77,5.96,12.17,0.77,9.5,7.86,6.8,5.85,11.21,10.62,13.02,9.1,14.64,6.34,5.93,9.41,10.92,15.64,6.93,8.03,6.89,5.42,3.33,2.95,5.14,11.67,10.0
Puskesmas Gading ,15.92,0.0,16.37,7.18,15.77,12.36,10.67,17.2,10.92,9.15,6.89,4.91,9.36,3.36,16.9,10.47,10.03,7.61,4.36,16.86,18.44,12.65,15.83,16.43,17.36,11.55,7.33,8.29
Puskesmas Gunung Anyar ,5.19,16.55,0.0,12.96,5.04,10.29,8.65,6.76,8.94,12.0,11.4,16.11,12.2,15.43,9.43,9.03,10.2,14.01,16.43,9.09,8.0,7.67,6.21,4.01,3.25,5.92,12.46,10.79
Puskesmas Kalijudan ,13.51,6.6,13.96,0.0,13.35,9.94,8.26,14.79,11.09,6.8,4.47,4.42,11.66,5.47,14.49,11.6,7.61,8.64,6.48,19.09,16.02,10.23,13.41,14.01,14.94,9.14,5.53,5.88
Puskesmas Kalirungkut ,0.15,15.79,5.98,12.19,0.0,9.52,7.88,6.81,5.86,11.23,10.63,13.04,9.12,14.66,6.35,5.95,9.43,10.94,15.66,6.95,8.05,6.91,5.44,3.35,2.97,5.16,11.69,10.02
Puskesmas Keputih ,10.04,12.68,10.49,9.08,9.88,0.0,4.79,11.32,8.17,8.12,7.52,12.41,9.62,11.55,11.01,8.69,5.17,10.31,12.55,15.62,12.55,6.76,9.94,10.54,11.47,5.67,7.65,6.91
Puskesmas Klampis Ngasem ,7.57,10.21,8.02,6.61,7.41,3.85,0.0,8.85,5.4,5.66,5.06,9.95,6.84,9.09,8.55,5.92,3.86,7.85,10.09,13.15,10.09,4.29,7.47,8.07,9.0,3.2,6.12,4.45
Puskesmas Medokan Ayu ,6.25,17.61,6.27,14.01,6.09,11.35,9.71,0.0,10.0,13.06,12.46,17.17,13.25,16.48,10.49,10.08,11.26,15.07,17.49,11.41,4.64,8.73,3.86,6.33,7.25,6.98,13.51,11.85
Puskesmas Menur ,5.78,10.89,8.88,10.46,5.63,7.79,4.87,9.71,0.0,7.18,8.9,9.06,5.01,9.94,7.94,2.56,7.7,6.96,10.48,11.57,10.95,5.05,8.34,8.94,7.4,3.34,9.96,8.29
Puskesmas Mojo ,11.57,9.45,13.15,7.47,11.41,9.13,7.34,13.98,7.93,0.0,5.92,7.07,8.51,7.95,13.68,8.45,6.65,5.62,8.49,16.5,15.21,9.42,12.6,13.2,14.13,8.33,6.97,5.31
