,UPTD Gudang Farmasi ,Puskesmas Bulak Banteng ,Puskesmas Dupak ,Puskesmas Kenjeran ,Puskesmas Krembangan Selatan ,Puskesmas Moro Krembangan ,Puskesmas Pegirian ,Puskesmas Perak Timur ,Puskesmas Sawah Pulo ,Puskesmas Sidotopo ,Puskesmas Sidotopo Wetan ,Puskesmas Tambak Wedi ,Puskesmas Tanah Kali Kedinding ,Puskesmas Wonokusumo ,Pustu Bongkaran,Pustu Bulak,Pustu Kedung Cowek,Pustu Krembangan Baru,Pustu Nyamplungan,Pustu Pegirian,Pustu Perak Barat,Pustu Tanah Kali Kedinding,Pustu Wonokusumo
UPTD Gudang Farmasi ,0.0,18.8,17.2,15.43,18.26,18.54,16.89,17.62,18.58,17.12,17.31,17.0,16.58,18.51,14.74,18.05,18.03,18.8,16.99,18.15,23.25,16.83,19.68
Puskesmas Bulak Banteng ,19.69,0.0,11.88,11.83,10.07,11.86,6.14,7.62,8.59,7.01,3.26,3.41,4.79,5.48,10.38,7.9,6.23,13.38,10.46,5.19,13.79,3.52,4.16
Puskesmas Dupak ,14.66,12.42,0.0,14.47,5.07,4.61,6.9,5.03,7.64,7.09,10.9,12.24,11.81,8.53,7.28,13.29,13.26,7.96,9.38,8.16,9.32,12.06,9.7
Puskesmas Kenjeran ,15.96,11.69,14.77,0.0,12.96,14.74,9.78,10.5,11.47,10.01,10.2,9.89,9.46,11.4,10.72,5.88,10.91,13.72,12.97,11.03,16.67,9.71,12.57
Puskesmas Krembangan Selatan ,15.01,10.38,5.54,10.82,0.0,5.51,5.55,3.72,6.86,4.94,9.55,8.58,8.16,7.17,3.63,9.63,9.61,5.31,5.73,6.81,8.6,8.41,8.35
Puskesmas Moro Krembangan ,15.71,12.6,4.92,14.65,5.25,0.0,7.08,5.21,7.81,7.27,11.08,12.41,11.99,8.7,7.46,13.46,13.44,9.01,9.56,8.34,9.5,12.24,9.87
Puskesmas Pegirian ,13.75,5.99,6.16,9.62,4.35,6.14,0.0,1.9,2.87,1.29,4.47,7.39,6.96,2.09,4.93,8.44,8.41,8.24,4.74,1.73,8.06,7.21,3.26
Puskesmas Perak Timur ,14.38,7.39,4.26,10.25,2.46,4.24,1.87,0.0,2.6,2.06,5.86,8.02,7.59,3.49,4.67,9.07,9.04,6.35,4.23,3.13,6.17,7.84,4.66
Puskesmas Sawah Pulo ,14.78,7.79,7.33,10.65,5.52,7.31,2.27,3.07,0.0,2.46,6.27,8.42,8.0,3.89,6.1,9.47,9.45,9.41,5.91,3.53,9.24,8.24,5.06
Puskesmas Sidotopo ,14.49,7.72,7.45,10.29,5.64,7.42,2.21,3.19,4.15,0.0,6.2,8.06,7.63,3.83,3.93,9.11,9.08,8.03,3.74,3.46,9.35,7.88,5.0
Puskesmas Sidotopo Wetan ,17.86,3.38,10.28,10.73,8.47,10.25,4.53,6.01,6.98,5.4,0.0,6.3,5.33,4.36,9.05,6.81,6.64,12.36,8.86,3.59,12.18,3.33,4.51
Puskesmas Tambak Wedi ,19.05,4.25,13.79,11.19,11.98,13.76,8.8,9.52,10.49,9.03,6.19,0.0,4.15,9.04,9.74,7.26,4.03,12.74,12.0,8.75,15.69,4.65,7.72
Puskesmas Tanah Kali Kedinding ,15.33,6.13,10.06,7.46,8.25,10.04,5.07,5.8,6.77,5.31,4.76,4.44,0.0,6.69,6.02,3.67,5.35,9.02,8.27,6.33,11.96,4.27,7.86
Puskesmas Wonokusumo ,15.51,5.31,7.92,11.38,6.11,7.9,2.18,3.66,4.63,3.05,4.39,9.15,8.72,0.0,6.69,10.2,10.18,10.01,6.5,1.65,9.83,7.34,1.35
Pustu Bongkaran,14.51,10.12,7.11,10.56,5.29,7.85,5.29,5.54,6.51,4.59,9.29,8.32,7.9,6.92,0.0,9.37,9.35,5.83,5.38,6.55,10.93,8.15,8.09
Pustu Bulak,18.12,8.87,12.85,5.95,11.04,12.82,7.86,8.59,9.55,8.09,7.5,7.18,5.21,9.48,8.8,0.0,8.09,11.8,11.06,9.12,14.75,7.01,10.65
Pustu Kedung Cowek,17.24,6.46,11.97,9.37,10.16,11.95,6.98,7.71,8.68,7.22,6.65,3.14,2.19,8.6,7.93,5.58,0.0,10.93,10.18,8.24,13.88,5.95,9.77
Pustu Krembangan Baru,16.09,12.25,5.29,12.68,3.28,5.27,5.94,4.07,6.67,6.12,9.93,10.45,10.03,7.56,5.49,11.5,11.47,0.0,7.59,7.19,8.36,10.28,8.73
Pustu Nyamplungan,16.52,10.64,7.83,12.32,6.02,7.81,5.12,3.57,5.85,5.31,9.11,10.09,9.66,6.74,5.13,11.13,11.11,7.67,0.0,6.38,9.74,9.91,7.91
Pustu Pegirian,15.15,5.03,7.56,11.02,5.75,7.54,1.82,3.3,4.27,2.69,3.51,8.79,8.37,1.65,6.33,9.84,9.81,9.65,6.14,0.0,9.47,6.46,2.84
Pustu Perak Barat,18.96,13.87,8.89,16.73,8.49,10.23,8.35,6.48,9.08,8.53,12.34,14.49,14.07,9.97,10.7,15.54,15.52,12.15,10.71,9.6,0.0,14.32,11.14
Pustu Tanah Kali Kedinding,19.16,3.6,13.89,11.29,12.08,13.86,7.37,9.62,10.59,9.13,3.23,4.54,4.25,7.2,9.84,7.37,5.69,12.85,12.1,6.42,15.79,0.0,7.35
Pustu Wonokusumo,16.63,4.56,9.05,12.51,7.24,9.02,3.31,4.79,5.75,4.17,4.57,7.62,9.85,1.41,7.82,11.32,11.3,11.13,7.63,2.91,10.95,7.52,0.0
