Nama Puskesmas,Latitude,Longitude,Wilayah,Jaringan Pelayanan,Jenis Layanan
UPTD Gudang Farmasi ,"-732,229","1,127,717",,,
Puskesmas Asemrowo ,"-725,186","1,127,146",Barat,Puskesmas Induk,Rawat Jalan
Puskesmas Balongsari ,"-725,923","1,126,783",Barat,Puskesmas Induk,Rawat Inap
Puskesmas Bangkingan ,"-732,492","1,126,561",Barat,Puskesmas Induk,Rawat Jalan
Puskesmas Benowo ,"-723,473","1,126,115",Barat,Puskesmas Induk,Rawat Jalan
Puskesmas Jeruk ,"-731,044","1,126,384",Barat,Puskesmas Induk,Rawat Jalan
Puskesmas Lidah Kulon ,"-730,544","1,126,384",Barat,Puskesmas Induk,Rawat Jalan
Puskesmas Lontar ,"-728,506","1,126,627",Barat,Puskesmas Induk,Rawat Jalan
Puskesmas Made ,"-727,731","112,637",Barat,Puskesmas Induk,Rawat Jalan
Puskesmas Manukan Kulon ,"-725,847","1,126,606",Barat,Puskesmas Induk,Rawat Inap
Puskesmas Sememi ,"-724,835","1,126,355",Barat,Puskesmas Induk,Rawat Inap
Puskesmas Simomulyo ,"-726,246","112,712",Barat,Puskesmas Induk,Rawat Inap
Puskesmas Tanjungsari ,"-72,594","1,126,893",Barat,Puskesmas Induk,Rawat Inap
Puskesmas Dr. Soetomo ,"-727,735","1,127,341",Pusat,Puskesmas Induk,Rawat Jalan
Puskesmas Gundih ,"-724,724","1,127,254",Pusat,Puskesmas Induk,Rawat Jalan
Puskesmas Kedungdoro ,"-72,637","1,127,382",Pusat,Puskesmas Induk,Rawat Jalan
Puskesmas Ketabang ,"-725,806","1,127,468",Pusat,Puskesmas Induk,Rawat Jalan
Puskesmas Peneleh ,"-72,523","1,127,408",Pusat,Puskesmas Induk,Rawat Jalan
Puskesmas Simolawang ,"-723,487","112,751",Pusat,Puskesmas Induk,Rawat Jalan
Puskesmas Tambakrejo ,"-724,845","1,127,556",Pusat,Puskesmas Induk,Rawat Jalan
Puskesmas Tembok Dukuh ,"-725,453","1,127,192",Pusat,Puskesmas Induk,Rawat Jalan
Puskesmas Balas Klumprik ,"-733,652","112,69",Selatan,Puskesmas Induk,Rawat Jalan
Puskesmas Banyu Urip ,"-727,151","112,72",Selatan,Puskesmas Induk,Rawat Inap
Puskesmas Dukuh Kupang ,"-728,324","1,127,122",Selatan,Puskesmas Induk,Rawat Inap
Puskesmas Gayungan ,"-73,381","1,127,187",Selatan,Puskesmas Induk,Rawat Jalan
Puskesmas Jagir ,"-730,566","1,127,377",Selatan,Puskesmas Induk,Rawat Inap
Puskesmas Jemursari ,"-732,608","112,74",Selatan,Puskesmas Induk,Rawat Jalan
Puskesmas Kebonsari ,"-73,284","1,127,144",Selatan,Puskesmas Induk,Rawat Inap
Puskesmas Kedurus ,"-731,975","1,127,094",Selatan,Puskesmas Induk,Rawat Inap
Puskesmas Ngagel Rejo ,"-729,296","1,127,488",Selatan,Puskesmas Induk,Rawat Jalan
Puskesmas Pakis ,"-728,177","1,127,285",Selatan,Puskesmas Induk,Rawat Inap
Puskesmas Putat Jaya ,"-728,142","1,127,224",Selatan,Puskesmas Induk,Rawat Jalan
Puskesmas Sawahan ,"-726,558","1,127,278",Selatan,Puskesmas Induk,Rawat Jalan
Puskesmas Sidosermo ,"-730,733","1,127,557",Selatan,Puskesmas Induk,Rawat Jalan
Puskesmas Siwalankerto ,"-734,027","1,127,365",Selatan,Puskesmas Induk,Rawat Inap
Puskesmas Wiyung ,"-733,152","112,69",Selatan,Puskesmas Induk,Rawat Inap
Puskesmas Wonokromo ,"-730,318","1,127,304",Selatan,Puskesmas Induk,Rawat Jalan
Puskesmas Gading ,"-724,249","112,764",Timur,Puskesmas Induk,Rawat Jalan
Puskesmas Gunung Anyar ,"-734,086","1,127,839",Timur,Puskesmas Induk,Rawat Inap
