,UPTD Gudang Farmasi ,Puskesmas Asemrowo ,Puskesmas Balongsari ,Puskesmas Bangkingan ,Puskesmas Benowo ,Puskesmas Jeruk ,Puskesmas Lidah Kulon ,Puskesmas Lontar ,Puskesmas Made ,Puskesmas Manukan Kulon ,Puskesmas Sememi ,Puskesmas Simomulyo ,Puskesmas Tanjungsari ,Pustu Babat Jerawat,Pustu Banjarsugihan,Pustu Buntaran,Pustu Kandangan,Pustu Pakal,Pustu Putat Gede,Pustu Romo Kalisari,Pustu Simohilir,Pustu Sonokawijenan,Pustu Sumber Rejo,Pustu Tambak Dono,Pustu Tambak Langon
UPTD Gudang Farmasi ,0.0,10.021,12.45,12.768,20.167,14.777,14.836,12.721,15.684,14.154,17.119,9.34,11.453,18.133,14.043,13.518,15.514,20.253,8.647,19.539,9.546,9.812,20.947,9.642,17.266
Puskesmas Asemrowo ,10.021,0.0,4.091,10.345,11.543,10.62,10.292,6.807,9.02,6.008,8.744,1.207,2.916,9.493,5.943,4.508,7.123,11.285,4.165,9.791,1.069,2.379,11.754,2.422,7.573
Puskesmas Balongsari ,12.45,4.091,0.0,7.667,7.859,7.175,6.748,3.336,4.98,1.956,4.877,3.739,1.215,5.786,1.877,1.254,3.214,7.829,4.035,7.379,3.615,2.71,8.497,2.866,5.166
Puskesmas Bangkingan ,12.768,10.345,7.667,0.0,11.124,2.527,2.909,4.468,5.672,7.366,8.768,9.264,8.121,9.795,7.284,8.647,8.088,11.828,6.535,13.392,9.327,7.966,12.817,7.929,11.708
Puskesmas Benowo ,20.167,11.543,7.859,11.124,0.0,8.884,8.365,7.934,5.487,6.025,3.049,11.515,9.015,2.076,6.132,7.064,4.673,1.093,11.531,4.508,11.361,10.568,1.995,10.72,5.045
Puskesmas Jeruk ,14.777,10.62,7.175,2.527,8.884,0.0,0.553,3.883,3.667,6.248,6.874,9.706,7.966,7.803,6.199,7.866,6.588,9.684,7.445,11.664,9.715,8.322,10.689,8.339,10.258
Puskesmas Lidah Kulon ,14.836,10.292,6.748,2.909,8.365,0.553,0.0,3.504,3.115,5.744,6.322,9.415,7.584,7.255,5.699,7.391,6.046,9.151,7.274,11.111,9.413,8.027,10.155,8.055,9.714
Puskesmas Lontar ,12.721,6.807,3.336,4.468,7.934,3.883,3.504,0.0,2.965,2.95,5.05,5.99,4.084,6.152,2.857,4.199,3.909,8.351,4.313,9.222,5.969,4.607,9.255,4.657,7.355
Puskesmas Made ,15.684,9.02,4.98,5.672,5.487,3.667,3.115,2.965,0.0,3.337,3.207,8.444,6.106,4.161,3.345,5.154,3.148,6.156,7.229,8.004,8.373,7.134,7.146,7.226,6.721
Puskesmas Manukan Kulon ,14.154,6.008,1.956,7.366,6.025,6.248,5.744,2.95,3.337,0.0,2.989,5.693,3.171,3.98,0.117,1.818,1.361,6.124,5.543,6.362,5.572,4.598,6.894,4.74,4.411
