,UPTD Gudang Farmasi ,Puskesmas Dr. Soetomo ,Puskesmas Gundih ,Puskesmas Kedungdoro ,Puskesmas Ketabang ,Puskesmas Peneleh ,Puskesmas Simolawang ,Puskesmas Tambakrejo ,Puskesmas Tembok Dukuh ,Pustu Kapasari,Pustu Asem Jajar,Pustu Embong Kaliasin,Pustu Kapasan,Pustu Granting,Pustu Kebondalem,Pustu Keputran,Pustu Sidodadi
UPTD Gudang Farmasi ,0.0,6.476,9.748,7.461,7.617,8.459,9.935,8.357,9.474,8.595,9.346,6.835,9.117,9.482,10.136,5.455,9.789
Puskesmas Dr. Soetomo ,6.476,0.0,3.466,1.576,2.553,2.867,5.055,3.982,3.013,3.708,2.912,0.364,4.306,4.773,5.085,1.105,4.707
Puskesmas Gundih ,9.748,3.466,0.0,2.305,2.649,1.79,3.141,3.338,1.058,2.695,0.863,3.168,2.91,3.205,2.952,4.326,2.718
Puskesmas Kedungdoro ,7.461,1.576,2.305,0.0,1.136,1.293,3.488,2.557,2.33,2.184,2.108,1.467,2.763,3.228,3.51,2.118,3.132
Puskesmas Ketabang ,7.617,2.553,2.649,1.136,0.0,0.919,2.606,1.44,3.073,1.192,2.806,2.533,1.801,2.263,2.706,2.716,2.326
Puskesmas Peneleh ,8.459,2.867,1.79,1.293,0.919,0.0,2.233,1.689,2.398,1.116,2.119,2.73,1.594,2.036,2.228,3.324,1.855
Puskesmas Simolawang ,9.935,5.055,3.141,3.488,2.606,2.233,0.0,1.585,4.13,1.426,3.873,4.949,0.835,0.472,0.318,5.322,0.428
Puskesmas Tambakrejo ,8.357,3.982,3.338,2.557,1.44,1.689,1.585,0.0,4.076,0.646,3.796,3.973,0.82,1.125,1.821,4.0,1.527
Puskesmas Tembok Dukuh ,9.474,3.013,1.058,2.33,3.073,2.398,4.13,4.076,0.0,3.462,0.28,2.666,3.79,4.138,3.967,4.027,3.703
Pustu Kapasari,8.595,3.708,2.695,2.184,1.192,1.116,1.426,0.646,3.462,0.0,3.183,3.645,0.609,1.072,1.564,3.902,1.199
Pustu Asem Jajar,9.346,2.912,0.863,2.108,2.806,2.119,3.873,3.796,0.28,3.183,0.0,2.577,3.516,3.869,3.717,3.891,3.445
Pustu Embong Kaliasin,6.835,0.364,3.168,1.467,2.533,2.73,4.949,3.973,2.666,3.645,2.577,0.0,4.23,4.695,4.958,1.464,4.584
Pustu Kapasan,9.117,4.306,2.91,2.763,1.801,1.594,0.835,0.82,3.79,0.609,3.516,4.23,0.0,0.467,1.021,4.509,0.708
Pustu Granting,9.482,4.773,3.205,3.228,2.263,2.036,0.472,1.125,4.138,1.072,3.869,4.695,0.467,0.0,0.754,4.965,0.61
Pustu Kebondalem,10.136,5.085,2.952,3.51,2.706,2.228,0.318,1.821,3.967,1.564,3.717,4.958,1.021,0.754,0.0,5.416,0.383
Pustu Keputran,5.455,1.105,4.326,2.118,2.716,3.324,5.322,4.0,4.027,3.902,3.891,1.464,4.509,4.965,5.416,0.0,5.034
Pustu Sidodadi,9.789,4.707,2.718,3.132,2.326,1.855,0.428,1.527,3.703,1.199,3.445,4.584,0.708,0.61,0.383,5.034,0.0
