,UPTD Gudang Farmasi ,Puskesmas Asemrowo ,Puskesmas Balongsari ,Puskesmas Bangkingan ,Puskesmas Benowo ,Puskesmas Jeruk ,Puskesmas Lidah Kulon ,Puskesmas Lontar ,Puskesmas Made ,Puskesmas Manukan Kulon ,Puskesmas Sememi ,Puskesmas Simomulyo ,Puskesmas Tanjungsari ,Pustu Babat Jerawat,Pustu Banjarsugihan,Pustu Buntaran,Pustu Kandangan,Pustu Pakal,Pustu Putat Gede,Pustu Romo Kalisari,Pustu Simohilir,Pustu Sonokawijenan,Pustu Sumber Rejo,Pustu Tambak Dono,Pustu Tambak Langon
UPTD Gudang Farmasi ,0.0,16.23,18.137,18.304,26.16,27.198,26.649,19.104,22.642,20.572,23.313,15.023,16.958,24.522,20.683,19.865,21.32,28.555,14.229,43.007,15.301,17.399,29.739,15.434,26.787
Puskesmas Asemrowo ,12.891,0.0,7.28,19.097,15.302,18.855,18.307,13.236,14.132,9.715,12.455,2.453,3.55,13.665,9.825,7.868,10.463,18.721,8.361,27.42,2.461,6.771,18.882,5.284,10.358
Puskesmas Balongsari ,15.184,5.135,0.0,14.278,8.172,11.14,10.591,8.209,7.001,2.584,5.325,5.626,1.776,6.534,2.695,1.877,3.332,10.567,9.959,24.998,5.904,4.708,11.751,3.945,7.366
Puskesmas Bangkingan ,18.345,21.228,13.338,0.0,20.126,4.986,4.438,7.624,8.233,10.24,12.513,17.945,12.16,14.226,10.042,15.067,13.453,21.882,13.141,39.32,18.223,12.171,23.067,11.534,19.902
Puskesmas Benowo ,22.784,12.735,8.803,20.126,0.0,15.02,14.472,10.872,7.482,6.799,3.869,13.226,9.376,2.338,6.91,8.492,5.308,2.49,17.559,25.05,13.505,12.309,3.674,11.546,14.966
Puskesmas Jeruk ,26.173,21.432,12.889,4.986,15.02,0.0,0.548,6.861,4.199,11.411,10.081,14.126,11.71,11.795,9.279,14.133,11.021,16.776,11.35,33.543,14.405,11.722,17.96,11.084,20.607
Puskesmas Lidah Kulon ,25.624,20.884,12.341,4.438,14.472,0.548,0.0,6.312,3.65,10.863,9.532,13.578,11.162,11.246,8.731,13.585,10.472,16.228,10.802,32.994,13.856,11.173,17.412,10.536,20.059
Puskesmas Lontar ,15.607,9.009,7.499,9.963,10.449,6.81,6.262,0.0,3.642,4.201,7.097,8.736,6.32,8.811,4.003,9.227,8.037,12.844,5.96,31.695,9.014,6.332,14.028,5.694,14.062
Puskesmas Made ,19.446,11.4,8.028,8.225,7.017,4.19,3.642,3.652,0.0,4.995,3.665,12.575,8.601,5.379,5.187,7.718,4.605,9.412,9.798,31.972,12.853,10.17,10.596,9.532,14.191
Puskesmas Manukan Kulon ,17.281,7.232,3.3,10.569,6.557,9.051,8.502,4.224,4.912,0.0,3.71,7.723,3.873,4.919,0.226,2.989,1.718,8.952,12.056,27.095,8.001,6.805,10.136,6.042,9.463
