,UPTD Gudang Farmasi ,Puskesmas Dr. Soetomo ,Puskesmas Gundih ,Puskesmas Kedungdoro ,Puskesmas Ketabang ,Puskesmas Peneleh ,Puskesmas Simolawang ,Puskesmas Tambakrejo ,Puskesmas Tembok Dukuh ,Pustu Kapasari,Pustu Asem Jajar,Pustu Embong Kaliasin,Pustu Kapasan,Pustu Granting,Pustu Kebondalem,Pustu Keputran,Pustu Sidodadi
UPTD Gudang Farmasi ,0.0,9.133,17.024,13.361,10.398,12.713,13.901,11.681,15.292,11.243,16.024,12.796,13.22,13.105,14.103,7.719,13.696
Puskesmas Dr. Soetomo ,9.911,0.0,5.987,2.978,4.474,5.937,7.126,5.757,4.255,5.319,4.987,0.532,6.445,6.33,8.018,2.088,6.921
Puskesmas Gundih ,13.101,5.267,0.0,6.144,5.291,4.893,6.721,6.727,1.42,5.819,1.332,4.736,6.671,6.556,6.489,7.362,5.911
Puskesmas Kedungdoro ,11.015,3.182,5.306,0.0,4.647,4.73,6.557,6.061,3.575,5.153,4.306,2.65,6.005,5.891,6.326,5.277,5.748
Puskesmas Ketabang ,9.416,4.606,5.961,4.301,0.0,3.131,3.727,2.359,4.905,1.92,5.78,4.542,3.046,2.932,4.619,3.93,3.523
Puskesmas Peneleh ,12.132,7.016,5.118,6.775,2.845,0.0,3.678,2.929,5.025,2.021,4.937,6.301,2.874,2.759,3.446,6.339,2.869
Puskesmas Simolawang ,12.799,7.682,8.512,7.442,3.97,4.018,0.0,3.023,8.419,2.646,8.331,7.618,1.863,1.748,0.552,7.006,0.759
Puskesmas Tambakrejo ,10.06,5.792,6.671,5.552,2.008,3.841,2.883,0.0,6.578,2.371,6.49,5.728,2.202,2.088,3.086,5.116,2.679
Puskesmas Tembok Dukuh ,11.953,4.119,1.959,4.996,4.143,4.248,6.327,5.579,0.0,4.671,0.959,3.588,5.523,5.408,6.096,6.214,5.518
Pustu Kapasari,10.834,5.718,5.003,5.477,2.005,2.173,2.016,1.058,4.91,0.0,4.822,5.653,1.335,1.22,2.908,5.041,1.812
Pustu Asem Jajar,12.053,4.22,2.104,5.096,4.243,4.348,6.428,5.679,0.373,4.771,0.0,3.688,5.624,5.509,6.196,6.315,5.619
Pustu Embong Kaliasin,9.38,0.532,5.455,2.913,4.409,5.405,7.062,5.693,3.724,5.254,4.455,0.0,6.381,6.266,7.954,2.024,6.857
Pustu Kapasan,11.833,6.716,6.002,6.476,3.003,3.172,1.544,2.057,5.909,1.679,5.82,6.652,0.0,0.749,1.446,6.04,1.038
Pustu Granting,11.928,6.811,8.485,6.571,3.098,3.267,0.947,2.152,8.392,1.774,8.303,6.747,0.992,0.0,1.839,6.135,1.468
Pustu Kebondalem,13.501,8.384,7.708,8.144,4.414,3.786,0.552,3.725,7.615,3.026,7.527,8.32,2.249,2.417,0.0,7.708,0.725
Pustu Keputran,7.836,2.055,7.446,3.188,3.788,6.103,6.44,5.072,5.714,4.633,6.446,1.991,5.759,5.644,7.332,0.0,6.236
Pustu Sidodadi,12.288,7.172,6.037,6.931,3.459,3.207,0.759,2.512,5.944,2.135,5.856,7.107,1.037,1.204,0.725,6.495,0.0
