,UPTD Gudang Farmasi ,Puskesmas Balas Klumprik ,Puskesmas Banyu Urip ,Puskesmas Dukuh Kupang ,Puskesmas Gayungan ,Puskesmas Jagir ,Puskesmas Jemursari ,Puskesmas Kebonsari ,Puskesmas Kedurus ,Puskesmas Ngagel Rejo ,Puskesmas Pakis ,Puskesmas Putat Jaya ,Puskesmas Sawahan ,Puskesmas Sidosermo ,Puskesmas Siwalankerto ,Puskesmas Wiyung ,Puskesmas Wonokromo ,Pustu Babatan,Pustu Bendul Merisi,Pustu Dukuh Menanggal,Pustu Gunungsari,Pustu Jambangan,Pustu Karah,Pustu Kebraon,Pustu Ketintang,Pustu Margorejo,Pustu Pagesangan,Pustu Petemon,Pustu Pradah Kali Kendal,Pustu Putat Jaya,Pustu Sawunggaling,Pustu Simokatrungan,Pustu Warugunung
UPTD Gudang Farmasi ,0.0,13.653,13.152,13.896,9.6,6.447,4.888,11.286,15.853,5.868,11.701,13.363,14.214,4.194,7.429,15.116,9.808,18.609,5.946,7.588,11.257,12.352,10.132,14.831,10.132,6.381,11.401,14.602,17.261,14.625,11.787,13.292,14.895
Puskesmas Balas Klumprik ,13.695,0.0,15.251,10.825,6.613,11.572,9.28,4.819,4.151,12.709,13.8,15.463,16.313,12.504,8.805,2.881,7.904,8.759,12.855,7.436,7.078,5.686,7.635,3.128,7.635,12.097,4.135,14.707,12.583,11.482,7.978,15.391,3.75
Puskesmas Banyu Urip ,10.034,15.785,0.0,3.463,11.732,5.618,8.772,9.855,11.494,5.405,2.48,3.812,3.282,7.08,9.561,17.248,6.414,9.867,6.901,9.72,8.053,8.429,7.928,14.13,7.928,7.389,10.788,1.986,7.016,1.373,5.416,0.157,17.028
Puskesmas Dukuh Kupang ,10.489,10.315,3.181,0.0,9.86,6.073,9.227,8.552,6.397,6.246,2.143,1.837,4.344,7.535,10.016,10.0,6.869,6.952,7.356,10.175,6.067,7.125,6.625,9.034,6.625,7.844,9.485,4.011,5.604,1.378,4.238,3.321,12.115
Puskesmas Gayungan ,8.414,5.579,9.971,10.715,0.0,6.292,4.0,1.827,7.779,7.428,8.52,10.182,11.033,7.223,4.289,7.043,6.627,13.149,7.575,4.899,6.433,2.893,3.822,6.757,3.822,6.817,2.091,11.421,14.079,11.444,8.606,10.11,6.822
Puskesmas Jagir ,8.125,10.723,7.405,8.149,6.671,0.0,3.71,8.356,6.201,4.88,5.954,7.617,8.467,2.617,4.5,12.187,4.048,12.862,1.815,4.658,5.521,5.544,4.396,11.901,4.396,2.274,8.472,8.855,11.514,8.879,6.04,7.545,11.966
Puskesmas Jemursari ,4.939,9.503,9.002,9.746,5.45,5.323,0.0,7.136,11.703,6.46,7.551,9.213,10.064,4.761,3.279,10.966,5.658,14.459,4.37,3.438,7.107,8.202,5.982,10.681,5.982,5.848,7.251,10.452,13.111,10.476,7.637,9.142,10.745
Puskesmas Kebonsari ,8.065,4.792,9.621,8.327,1.999,5.942,3.65,0.0,5.42,7.078,8.17,9.832,10.683,6.873,4.439,6.255,5.034,11.455,7.225,4.598,4.74,1.2,2.438,5.97,2.438,6.467,1.457,11.071,10.217,11.094,5.352,9.761,6.034
Puskesmas Kedurus ,10.964,4.149,8.666,6.905,6.308,6.548,11.479,7.017,0.0,7.419,7.215,8.384,9.728,8.01,11.003,3.833,3.985,7.673,7.831,9.634,3.158,4.216,3.715,2.868,3.715,8.319,6.334,10.787,8.663,7.562,4.058,8.806,5.948
Puskesmas Ngagel Rejo ,5.909,13.406,5.082,6.663,9.353,3.239,6.393,11.038,7.872,0.0,4.468,5.294,6.981,4.312,7.182,14.869,4.239,11.376,4.522,7.34,7.191,7.322,6.542,14.583,6.542,5.009,11.154,6.533,10.028,6.556,4.554,5.222,14.648
Puskesmas Pakis ,8.729,14.48,2.287,2.117,10.428,4.314,7.468,8.55,7.428,4.1,0.0,0.962,3.35,5.776,8.257,15.944,5.109,8.24,5.596,8.415,6.748,7.124,6.623,10.065,6.623,6.084,9.484,3.738,6.891,3.761,4.111,2.427,15.723
Puskesmas Putat Jaya ,11.24,10.963,3.326,1.477,10.507,6.824,9.978,9.199,7.044,6.611,0.987,0.0,4.489,8.286,10.768,10.647,7.62,7.6,8.107,10.926,6.715,7.773,7.272,9.681,7.272,8.595,10.132,4.776,6.251,2.439,3.961,3.466,12.762
Puskesmas Sawahan ,9.906,15.657,2.14,3.445,11.605,5.49,8.644,9.727,8.605,5.277,2.353,2.351,0.0,6.952,9.434,17.121,6.286,9.568,6.773,9.592,7.925,8.301,7.8,11.242,7.8,7.261,10.66,3.061,8.22,3.613,5.288,2.28,16.9
