,UPTD Gudang Farmasi ,Puskesmas Gading ,Puskesmas Gunung Anyar ,Puskesmas Kalijudan ,Puskesmas Kalirungkut ,Puskesmas Keputih ,Puskesmas Klampis Ngasem ,Puskesmas Medokan Ayu ,Puskesmas Menur ,Puskesmas Mojo ,Puskesmas Mulyorejo ,Puskesmas Pacar Keling ,Puskesmas Pucang Sewu ,Puskesmas Rangkah ,Puskesmas Tenggilis ,Pustu Baratajaya,Pustu Gebang Putih,Pustu Gubeng Klingsingan,Pustu Karang Empat,Pustu Kutisari,Pustu Medokan Ayu,Pustu Medokan Semampir,Pustu Penjaringan Sari,Pustu Rungkut Kidul,Pustu Rungkut Menanggal,Pustu Semolowaru,Pustu Sutorejo,Pustu Mulyorejo / wisma permai
UPTD Gudang Farmasi ,0.0,12.435,4.038,9.179,0.287,7.521,5.537,3.833,4.15,8.28,8.155,9.903,6.83,11.729,3.977,4.27,6.894,7.848,12.217,4.432,4.301,4.47,2.699,1.944,2.134,3.534,8.885,7.303
Puskesmas Gading ,12.494,0.0,13.395,4.548,12.39,9.9,8.007,13.189,9.697,6.464,4.713,2.718,8.426,1.743,12.935,9.33,7.283,5.771,2.231,16.285,13.658,9.485,12.056,13.065,13.996,9.073,5.198,5.768
Puskesmas Gunung Anyar ,3.472,13.515,0.0,10.26,3.368,8.602,6.617,4.156,6.855,9.361,9.236,12.608,9.535,12.81,6.682,6.975,7.974,10.553,13.297,5.826,4.624,5.551,3.78,2.33,1.933,4.615,9.965,8.384
Puskesmas Kalijudan ,10.416,4.404,11.316,0.0,10.312,7.822,5.929,11.111,8.371,3.112,2.635,2.244,8.267,3.698,10.857,8.906,5.205,4.681,4.186,14.296,11.579,7.407,9.978,10.987,11.918,6.995,3.364,3.689
Puskesmas Kalirungkut ,0.104,12.525,4.128,9.27,0.0,7.612,5.627,3.923,4.24,8.371,8.245,9.994,6.921,11.82,4.068,4.36,6.984,7.938,12.307,4.523,4.391,4.561,2.79,2.034,2.224,3.625,8.975,7.394
Puskesmas Keputih ,8.08,10.436,8.98,7.181,7.976,0.0,3.593,8.775,5.913,6.282,6.156,9.82,6.668,9.73,8.521,6.448,3.583,7.764,10.218,11.96,9.243,5.071,7.642,8.651,9.582,4.659,5.397,5.304
Puskesmas Klampis Ngasem ,5.614,7.933,6.514,4.677,5.509,3.019,0.0,6.309,3.259,3.778,3.653,7.316,4.013,7.227,6.055,3.793,2.392,5.26,7.715,9.494,6.777,2.604,5.175,6.184,7.116,2.193,4.383,2.801
Puskesmas Medokan Ayu ,3.504,13.547,3.983,10.292,3.4,8.634,6.649,0.0,6.887,9.393,9.267,12.64,9.567,12.841,6.714,7.007,8.006,10.585,13.329,6.963,1.862,5.583,1.599,3.654,4.585,4.647,9.997,8.415
Puskesmas Menur ,4.321,9.62,7.187,7.987,4.217,6.329,2.46,6.982,0.0,4.932,6.962,6.206,3.158,7.4,5.123,1.124,5.701,4.15,7.343,8.412,7.45,3.277,5.848,6.858,5.872,2.282,7.692,6.11
Puskesmas Mojo ,8.77,7.228,10.559,4.844,8.666,7.065,4.736,10.354,5.244,0.0,3.819,4.045,5.139,5.239,10.101,5.778,4.448,2.921,5.181,14.44,10.823,6.65,9.221,10.23,11.161,6.238,4.549,2.967
Puskesmas Mulyorejo ,8.715,5.251,9.615,1.996,8.611,6.121,4.228,9.41,6.67,3.409,0.0,4.328,6.566,4.545,9.156,7.205,3.504,4.825,5.033,12.595,9.878,5.706,8.277,9.286,10.217,5.294,1.147,1.988
