,UPTD Gudang Farmasi ,Puskesmas Bulak Banteng ,Puskesmas Dupak ,Puskesmas Kenjeran ,Puskesmas Krembangan Selatan ,Puskesmas Moro Krembangan ,Puskesmas Pegirian ,Puskesmas Perak Timur ,Puskesmas Sawah Pulo ,Puskesmas Sidotopo ,Puskesmas Sidotopo Wetan ,Puskesmas Tambak Wedi ,Puskesmas Tanah Kali Kedinding ,Puskesmas Wonokusumo ,Pustu Bongkaran,Pustu Bulak,Pustu Kedung Cowek,Pustu Krembangan Baru,Pustu Nyamplungan,Pustu Pegirian,Pustu Perak Barat,Pustu Tanah Kali Kedinding,Pustu Wonokusumo
UPTD Gudang Farmasi ,0.0,15.391,17.258,12.171,17.624,19.324,15.149,16.439,16.482,15.322,13.856,14.669,15.144,16.169,12.845,14.231,15.916,17.294,13.964,15.978,22.099,13.719,16.61
Puskesmas Bulak Banteng ,16.458,0.0,8.701,9.573,7.09,8.835,3.126,4.856,4.898,3.739,1.234,0.931,3.149,2.597,8.714,4.637,3.909,11.069,5.16,2.51,8.251,1.507,1.608
Puskesmas Dupak ,14.113,9.218,0.0,12.156,3.481,2.742,6.172,4.397,6.214,6.386,8.328,11.141,11.616,7.193,5.032,10.703,12.388,4.824,6.008,7.001,5.516,10.191,7.634
Puskesmas Kenjeran ,12.052,9.188,14.081,0.0,12.47,14.216,8.946,10.236,10.279,9.119,7.653,8.466,8.941,9.966,8.533,3.126,9.713,10.888,9.653,9.775,13.631,7.516,10.407
Puskesmas Krembangan Selatan ,14.097,8.946,3.665,9.239,0.0,3.8,5.057,2.256,4.771,3.32,7.213,8.224,8.699,6.077,2.116,7.787,9.472,3.305,3.091,5.886,4.786,7.275,6.518
Puskesmas Moro Krembangan ,16.002,9.79,3.261,12.728,4.053,0.0,6.744,4.969,6.786,6.958,8.9,11.713,12.188,7.764,5.604,11.275,12.96,6.713,6.58,7.573,6.088,10.763,8.205
Puskesmas Pegirian ,13.735,3.12,5.665,8.86,4.054,5.8,0.0,1.82,1.863,0.703,2.23,7.845,8.32,1.095,2.826,7.407,9.092,6.794,2.125,0.903,5.215,6.895,1.536
Puskesmas Perak Timur ,15.021,4.821,3.845,10.146,2.234,3.98,1.775,0.0,1.817,1.99,3.931,9.131,9.606,2.796,3.785,8.694,10.379,4.974,2.192,2.604,3.395,8.181,3.237
Puskesmas Sawah Pulo ,14.143,3.943,6.073,9.267,4.462,6.207,0.897,2.228,0.0,1.111,3.052,8.252,8.727,1.917,3.234,7.815,9.5,7.202,2.532,1.726,5.623,7.303,2.358
Puskesmas Sidotopo ,13.414,4.177,6.47,8.557,4.859,6.604,1.131,2.624,2.667,0.0,3.287,7.542,8.017,2.152,2.187,7.104,8.789,5.296,1.485,1.96,6.02,6.592,2.593
Puskesmas Sidotopo Wetan ,15.88,1.234,7.81,8.269,6.199,7.945,2.235,3.965,4.008,2.848,0.0,2.218,4.245,2.009,4.971,3.333,5.003,8.939,4.27,1.619,7.36,1.162,1.897
Puskesmas Tambak Wedi ,15.744,1.056,13.548,8.859,11.937,13.683,8.412,9.703,9.746,8.586,2.218,0.0,2.434,3.58,8.0,3.923,2.359,10.355,9.119,3.493,13.098,1.65,2.591
Puskesmas Tanah Kali Kedinding ,13.346,4.924,11.15,6.461,9.539,11.285,6.015,7.305,7.348,6.188,3.389,4.202,0.0,7.035,5.602,1.472,5.443,7.957,6.722,6.844,10.7,3.252,7.476
Puskesmas Wonokusumo ,14.752,2.597,6.682,9.877,5.071,6.817,1.107,2.837,2.88,1.72,2.009,8.862,9.337,0.0,3.843,8.424,10.109,7.811,3.142,0.682,6.232,3.002,0.487
Pustu Bongkaran,12.799,8.273,4.718,8.566,3.565,5.938,4.384,4.094,4.137,2.686,6.539,7.551,8.026,5.404,0.0,7.114,8.799,3.235,2.457,5.213,6.923,6.601,5.845
Pustu Bulak,14.335,5.913,12.139,3.138,10.528,12.274,7.004,8.294,8.337,7.177,4.378,5.19,2.076,8.024,6.591,0.0,6.431,8.946,7.71,7.833,11.689,4.241,8.465
Pustu Kedung Cowek,15.32,4.673,13.124,8.435,11.513,13.259,7.988,9.279,9.322,8.162,5.362,1.54,1.999,9.009,7.575,3.445,0.0,9.931,8.695,8.817,12.674,4.634,9.45
Pustu Krembangan Baru,15.868,9.833,3.127,10.126,1.452,3.262,4.903,3.128,4.945,5.117,7.059,9.111,9.586,5.923,3.003,8.674,10.359,0.0,3.978,5.732,4.247,8.162,6.364
Pustu Nyamplungan,13.863,5.105,5.293,9.006,3.682,5.427,2.059,1.448,2.101,2.273,4.214,7.991,8.466,3.079,1.882,7.553,9.238,3.466,0.0,2.888,4.843,7.041,3.52
Pustu Pegirian,14.553,2.51,6.484,9.678,4.873,6.619,0.909,2.639,2.682,1.522,1.619,8.664,9.139,0.682,3.645,8.226,9.911,7.613,2.943,0.0,6.034,2.613,1.222
Pustu Perak Barat,17.221,8.533,5.308,13.857,5.316,7.375,5.487,3.711,5.529,5.701,7.642,12.843,13.318,6.507,6.867,12.405,14.09,7.931,5.903,6.316,0.0,11.893,6.948
Pustu Tanah Kali Kedinding,16.419,1.508,14.223,9.534,12.612,14.358,3.228,10.378,10.421,9.261,1.162,1.65,3.11,3.002,8.675,4.598,3.87,11.03,9.795,2.613,13.773,0.0,2.89
Pustu Wonokusumo,15.193,1.972,7.123,10.318,5.512,7.258,1.548,3.278,3.321,2.161,1.897,2.834,9.778,0.487,4.284,8.865,10.55,8.252,3.582,1.222,6.673,2.89,0.0
