,UPTD Gudang Farmasi ,Puskesmas Balas Klumprik ,Puskesmas Banyu Urip ,Puskesmas Dukuh Kupang ,Puskesmas Gayungan ,Puskesmas Jagir ,Puskesmas Jemursari ,Puskesmas Kebonsari ,Puskesmas Kedurus ,Puskesmas Ngagel Rejo ,Puskesmas Pakis ,Puskesmas Putat Jaya ,Puskesmas Sawahan ,Puskesmas Sidosermo ,Puskesmas Siwalankerto ,Puskesmas Wiyung ,Puskesmas Wonokromo ,Pustu Babatan,Pustu Bendul Merisi,Pustu Dukuh Menanggal,Pustu Gunungsari,Pustu Jambangan,Pustu Karah,Pustu Kebraon,Pustu Ketintang,Pustu Margorejo,Pustu Pagesangan,Pustu Petemon,Pustu Pradah Kali Kendal,Pustu Putat Jaya,Pustu Sawunggaling,Pustu Simokatrungan,Pustu Warugunung
UPTD Gudang Farmasi ,0.0,9.157,8.008,7.862,6.108,4.181,3.525,6.363,6.885,4.113,6.545,7.076,7.927,2.42,4.366,9.079,5.026,10.249,3.44,5.1,6.747,6.151,5.702,7.914,5.702,3.463,6.72,8.936,10.16,7.929,5.63,7.999,11.289
Puskesmas Balas Klumprik ,9.157,0.0,7.916,6.382,3.174,6.276,5.64,2.84,2.833,8.085,7.398,7.066,8.887,7.94,5.151,0.553,5.787,3.928,6.515,4.575,4.905,3.306,4.142,1.379,4.142,6.105,2.449,8.884,5.318,7.227,5.829,7.83,2.389
Puskesmas Banyu Urip ,8.008,7.916,0.0,1.557,7.366,4.253,6.426,6.322,5.462,3.968,1.473,1.128,1.083,5.589,7.82,7.417,3.686,5.47,4.991,8.073,3.178,5.568,4.795,6.781,4.795,5.387,7.03,1.13,4.193,0.703,3.077,0.089,10.126
Puskesmas Dukuh Kupang ,7.862,6.382,1.557,0.0,6.109,3.752,5.645,5.0,4.05,4.182,1.807,1.144,2.604,5.493,6.854,5.875,2.984,4.02,4.531,6.996,1.854,4.274,3.618,5.292,3.618,4.781,5.679,2.514,2.942,0.855,2.322,1.469,8.572
Puskesmas Gayungan ,6.108,3.174,7.366,6.109,0.0,4.156,2.702,1.173,2.274,5.997,6.323,6.282,8.083,5.317,1.98,3.251,4.072,5.75,4.063,1.473,4.258,1.838,2.579,2.228,2.579,3.522,0.826,8.482,6.553,6.798,4.461,7.295,5.182
Puskesmas Jagir ,4.181,6.276,4.253,3.752,4.156,0.0,2.273,3.598,3.492,1.864,2.831,3.169,4.565,1.996,3.83,5.993,0.851,6.262,0.779,4.276,2.6,2.981,2.145,4.897,2.145,1.144,4.269,5.334,6.002,3.982,1.457,4.217,8.652
Puskesmas Jemursari ,3.525,5.64,6.426,5.645,2.702,2.273,0.0,2.838,3.451,3.79,5.062,5.308,6.825,2.703,1.616,5.553,2.745,7.022,1.761,2.198,4.017,2.694,2.476,4.39,2.476,1.184,3.221,7.537,7.253,6.058,3.386,6.38,7.829
Puskesmas Kebonsari ,6.363,2.84,6.322,5.0,1.173,3.598,2.838,0.0,1.105,5.458,5.387,5.27,7.103,5.121,2.771,2.716,3.302,4.686,3.723,2.479,3.165,0.762,1.646,1.552,1.646,3.279,0.73,7.423,5.399,5.724,3.566,6.247,5.138
Puskesmas Kedurus ,6.885,2.833,5.462,4.05,2.274,3.492,3.451,1.105,0.0,5.264,4.7,4.475,6.326,5.294,3.755,2.507,2.956,3.683,3.84,3.55,2.289,0.76,1.35,1.476,1.35,3.533,1.668,6.531,4.301,4.824,3.018,5.382,5.222
Puskesmas Ngagel Rejo ,4.113,8.085,3.968,4.182,5.997,1.864,3.79,5.458,5.264,0.0,2.561,3.182,3.814,1.762,5.406,7.768,2.325,7.544,2.038,5.954,3.819,4.819,3.945,6.708,3.945,2.626,6.133,4.835,6.941,4.015,2.528,3.971,10.47
