,UPTD Gudang Farmasi ,Puskesmas Gading ,Puskesmas Gunung Anyar ,Puskesmas Kalijudan ,Puskesmas Kalirungkut ,Puskesmas Keputih ,Puskesmas Klampis Ngasem ,Puskesmas Medokan Ayu ,Puskesmas Menur ,Puskesmas Mojo ,Puskesmas Mulyorejo ,Puskesmas Pacar Keling ,Puskesmas Pucang Sewu ,Puskesmas Rangkah ,Puskesmas Tenggilis ,Pustu Baratajaya,Pustu Gebang Putih,Pustu Gubeng Klingsingan,Pustu Karang Empat,Pustu Kutisari,Pustu Medokan Ayu,Pustu Medokan Semampir,Pustu Penjaringan Sari,Pustu Rungkut Kidul,Pustu Rungkut Menanggal,Pustu Semolowaru,Pustu Sutorejo,Pustu Mulyorejo / wisma permai
UPTD Gudang Farmasi ,0.0,8.866,2.456,7.21,0.1,4.573,3.74,2.579,2.928,5.684,6.959,7.268,4.334,8.417,1.06,3.198,4.793,6.254,7.578,2.991,3.246,2.289,1.728,0.785,1.793,2.642,7.377,5.539
Puskesmas Gading ,8.866,0.0,11.099,2.26,8.849,7.069,5.404,9.636,6.014,3.23,3.048,1.632,4.967,0.551,8.835,5.945,5.028,3.141,1.51,10.477,10.063,7.416,8.702,9.651,10.583,6.684,3.588,4.283
Puskesmas Gunung Anyar ,2.456,11.099,0.0,9.253,2.518,5.55,5.749,2.237,5.325,7.871,8.863,9.545,6.772,10.618,3.159,5.64,6.548,8.655,9.725,3.969,2.518,3.829,2.565,1.805,1.771,4.483,9.124,7.364
Puskesmas Kalijudan ,7.21,2.26,9.253,0.0,7.213,4.832,3.513,7.594,4.62,1.692,0.826,1.69,4.074,1.711,7.396,4.739,2.868,3.005,0.803,9.282,7.964,5.454,6.753,7.983,8.991,4.771,1.564,2.073
Puskesmas Kalirungkut ,0.1,8.849,2.518,7.213,0.0,4.64,3.754,2.679,2.894,5.676,6.972,7.247,4.287,8.404,0.961,3.151,4.822,6.215,7.571,2.91,3.346,2.347,1.821,0.807,1.781,2.676,7.401,5.561
Puskesmas Keputih ,4.573,7.069,5.55,4.832,4.64,0.0,2.639,3.398,4.164,4.28,4.142,5.942,5.189,6.519,5.399,4.688,2.133,6.047,5.56,7.518,3.506,2.324,3.125,5.097,6.141,2.383,4.044,2.79
Puskesmas Klampis Ngasem ,3.74,5.404,5.749,3.513,3.754,2.639,0.0,4.256,1.785,2.191,3.219,3.943,2.556,4.9,4.094,2.233,1.247,3.579,3.985,6.153,4.737,2.014,3.298,4.498,5.533,1.282,3.681,1.844
Puskesmas Medokan Ayu ,2.579,9.636,2.237,7.594,2.679,3.398,4.256,0.0,4.523,6.446,7.084,8.199,6.007,9.118,3.637,4.987,4.751,7.64,8.176,5.324,0.68,2.257,1.138,2.577,3.358,3.01,7.214,5.576
Puskesmas Menur ,2.928,6.014,5.325,4.62,2.894,4.164,1.785,4.523,0.0,2.96,4.589,4.392,1.496,5.601,2.829,0.538,3.014,3.332,4.836,4.666,5.147,2.49,3.391,3.7,4.579,1.918,5.213,3.467
Puskesmas Mojo ,5.684,3.23,7.871,1.692,5.676,4.28,2.191,6.446,2.96,0.0,1.904,1.76,2.422,2.748,5.772,3.049,2.153,1.946,1.897,7.608,6.911,4.204,5.48,6.467,7.438,3.463,2.708,1.731
