,UPTD Gudang Farmasi ,Puskesmas Bulak Banteng ,Puskesmas Dupak ,Puskesmas Kenjeran ,Puskesmas Krembangan Selatan ,Puskesmas Moro Krembangan ,Puskesmas Pegirian ,Puskesmas Perak Timur ,Puskesmas Sawah Pulo ,Puskesmas Sidotopo ,Puskesmas Sidotopo Wetan ,Puskesmas Tambak Wedi ,Puskesmas Tanah Kali Kedinding ,Puskesmas Wonokusumo ,Pustu Bongkaran,Pustu Bulak,Pustu Kedung Cowek,Pustu Krembangan Baru,Pustu Nyamplungan,Pustu Pegirian,Pustu Perak Barat,Pustu Tanah Kali Kedinding,Pustu Wonokusumo
UPTD Gudang Farmasi ,0.0,11.572,10.965,9.348,10.833,11.685,11.142,11.714,11.399,10.559,10.622,11.591,10.169,11.544,9.392,10.058,12.088,10.501,10.622,10.997,12.183,10.601,11.67
Puskesmas Bulak Banteng ,11.572,0.0,5.914,4.112,4.229,6.242,2.272,3.445,2.449,2.647,1.021,0.675,1.661,1.527,3.71,2.436,1.511,4.72,3.317,1.749,4.522,1.018,1.282
Puskesmas Dupak ,10.965,5.914,0.0,8.616,1.685,0.74,3.652,2.724,3.536,3.312,5.294,6.548,6.395,4.465,2.889,7.311,7.421,1.25,2.614,4.167,2.106,5.928,4.75
Puskesmas Kenjeran ,9.348,4.112,8.616,0.0,7.135,9.182,5.647,6.91,5.943,5.584,3.862,3.637,2.586,5.279,5.744,1.678,3.558,7.387,6.228,5.101,7.976,3.287,5.153
Puskesmas Krembangan Selatan ,10.833,4.229,1.685,7.135,0.0,2.085,1.969,1.238,1.874,1.651,3.638,4.866,4.791,2.79,1.678,5.733,5.737,0.593,0.951,2.483,1.351,4.282,3.076
Puskesmas Moro Krembangan ,11.685,6.242,0.74,9.182,2.085,0.0,3.972,2.878,3.805,3.732,5.716,6.897,6.876,4.744,3.511,7.814,7.753,1.807,3.034,4.521,2.014,6.362,5.021
Puskesmas Pegirian ,11.142,2.272,3.652,5.647,1.969,3.972,0.0,1.276,0.316,0.642,1.846,2.925,3.114,0.836,1.988,4.082,3.783,2.494,1.116,0.575,2.368,2.493,1.121
Puskesmas Perak Timur ,11.714,3.445,2.724,6.91,1.238,2.878,1.276,0.0,1.016,1.425,3.122,4.116,4.39,1.919,2.323,5.357,4.939,1.827,1.096,1.848,1.095,3.767,2.18
Puskesmas Sawah Pulo ,11.399,2.449,3.536,5.943,1.874,3.805,0.316,1.016,0.0,0.844,2.118,3.116,3.396,0.939,2.154,4.363,3.955,2.432,1.129,0.846,2.11,2.758,1.219
Puskesmas Sidotopo ,10.559,2.647,3.312,5.584,1.651,3.732,0.642,1.425,0.844,0.0,1.988,3.254,3.159,1.395,1.346,4.113,4.136,2.086,0.701,0.92,2.416,2.631,1.664
Puskesmas Sidotopo Wetan ,10.622,1.021,5.294,3.862,3.638,5.716,1.846,3.122,2.118,1.988,0.0,1.408,1.285,1.427,2.824,2.248,2.277,4.056,2.689,1.274,4.214,0.652,1.348
Puskesmas Tambak Wedi ,11.591,0.675,6.548,3.637,4.866,6.897,2.925,4.116,3.116,3.254,1.408,0.0,1.445,2.2,4.222,1.999,0.885,5.339,3.939,2.384,5.195,1.047,1.956
Puskesmas Tanah Kali Kedinding ,10.169,1.661,6.395,2.586,4.791,6.876,3.114,4.39,3.396,3.159,1.285,1.445,0.0,2.694,3.687,0.968,1.965,5.144,3.846,2.55,5.476,0.711,2.572
Puskesmas Wonokusumo ,11.544,1.527,4.465,5.279,2.79,4.744,0.836,1.919,0.939,1.395,1.427,2.2,2.694,0.0,2.7,3.637,3.022,3.326,1.951,0.571,2.995,2.002,0.286
Pustu Bongkaran,9.392,3.71,2.889,5.744,1.678,3.511,1.988,2.323,2.154,1.346,2.824,4.222,3.687,2.7,0.0,4.537,5.1,1.71,1.231,2.16,2.954,3.37,2.948
Pustu Bulak,10.058,2.436,7.311,1.678,5.733,7.814,4.082,5.357,4.363,4.113,2.248,1.999,0.968,3.637,4.537,0.0,2.125,6.062,4.793,3.517,6.443,1.635,3.494
Pustu Kedung Cowek,12.088,1.511,7.421,3.558,5.737,7.753,3.783,4.939,3.955,4.136,2.277,0.885,1.965,3.022,5.1,2.125,0.0,6.219,4.817,3.255,6.002,1.819,2.76
Pustu Krembangan Baru,10.501,4.72,1.25,7.387,0.593,1.807,2.494,1.827,2.432,2.086,4.056,5.339,5.144,3.326,1.71,6.062,6.219,0.0,1.403,2.971,1.743,4.685,3.613
Pustu Nyamplungan,10.622,3.317,2.614,6.228,0.951,3.034,1.116,1.096,1.129,0.701,2.689,3.939,3.846,1.951,1.231,4.793,4.817,1.403,0.0,1.568,1.878,3.331,2.235
Pustu Pegirian,10.997,1.749,4.167,5.101,2.483,4.521,0.575,1.848,0.846,0.92,1.274,2.384,2.55,0.571,2.16,3.517,3.255,2.971,1.568,0.0,2.941,1.919,0.791
Pustu Perak Barat,12.183,4.522,2.106,7.976,1.351,2.014,2.368,1.095,2.11,2.416,4.214,5.195,5.476,2.995,2.954,6.443,6.002,1.743,1.878,2.941,0.0,4.86,3.245
Pustu Tanah Kali Kedinding,10.601,1.018,5.928,3.287,4.282,6.362,2.493,3.767,2.758,2.631,0.652,1.047,0.711,2.002,3.37,1.635,1.819,4.685,3.331,1.919,4.86,0.0,1.866
Pustu Wonokusumo,11.67,1.282,4.75,5.153,3.076,5.021,1.121,2.18,1.219,1.664,1.348,1.956,2.572,0.286,2.948,3.494,2.76,3.613,2.235,0.791,3.245,1.866,0.0
