,UPTD Gudang Farmasi Surabaya,Puskesmas Balas Klumprik Surabaya,Puskesmas Banyu Urip Surabaya,Puskesmas Dukuh Kupang Surabaya,Puskesmas Gayungan Surabaya,Puskesmas Jagir Surabaya,Puskesmas Jemursari Surabaya,Puskesmas Kebonsari Surabaya,Puskesmas Kedurus Surabaya,Puskesmas Ngagel Rejo Surabaya,Puskesmas Pakis Surabaya,Puskesmas Putat Jaya Surabaya,Puskesmas Sawahan Surabaya,Puskesmas Sidosermo Surabaya,Puskesmas Siwalankerto Surabaya,Puskesmas Wiyung Surabaya,Puskesmas Wonokromo Surabaya
UPTD Gudang Farmasi Surabaya,0.0,9.079,8.008,7.863,6.111,4.18,3.532,6.361,6.888,4.115,6.548,7.081,7.932,2.424,4.372,9.079,5.03
Puskesmas Balas Klumprik Surabaya,9.079,0.0,7.418,5.876,3.248,5.994,5.547,2.718,2.503,7.764,6.95,6.592,8.399,7.727,5.218,0.0,5.449
Puskesmas Banyu Urip Surabaya,8.008,7.418,0.0,1.557,7.366,4.253,6.425,6.322,5.463,3.965,1.47,1.127,1.076,5.585,7.818,7.418,3.685
Puskesmas Dukuh Kupang Surabaya,7.863,5.876,1.557,0.0,6.11,3.753,5.642,5.001,4.051,4.178,1.802,1.137,2.598,5.488,6.852,5.876,2.981
Puskesmas Gayungan Surabaya,6.111,3.248,7.366,6.11,0.0,4.158,2.699,1.171,2.274,5.997,6.322,6.281,8.082,5.315,1.977,3.248,4.073
Puskesmas Jagir Surabaya,4.18,5.994,4.253,3.753,4.158,0.0,2.272,3.597,3.496,1.861,2.832,3.173,4.567,1.99,3.83,5.994,0.856
Puskesmas Jemursari Surabaya,3.532,5.547,6.425,5.642,2.699,2.272,0.0,2.83,3.448,3.79,5.062,5.308,6.826,2.703,1.616,5.547,2.745
Puskesmas Kebonsari Surabaya,6.361,2.718,6.322,5.001,1.171,3.597,2.83,0.0,1.107,5.453,5.384,5.268,7.101,5.114,2.763,2.718,3.299
Puskesmas Kedurus Surabaya,6.888,2.503,5.463,4.051,2.274,3.496,3.448,1.107,0.0,5.263,4.699,4.475,6.325,5.292,3.753,2.503,2.956
Puskesmas Ngagel Rejo Surabaya,4.115,7.764,3.965,4.178,5.997,1.861,3.79,5.453,5.263,0.0,2.561,3.185,3.817,1.762,5.406,7.764,2.324
Puskesmas Pakis Surabaya,6.548,6.95,1.47,1.802,6.322,2.832,5.062,5.384,4.699,2.561,0.0,0.677,1.793,4.124,6.529,6.95,2.376
Puskesmas Putat Jaya Surabaya,7.081,6.592,1.127,1.137,6.281,3.173,5.308,5.268,4.475,3.185,0.677,0.0,1.85,4.663,6.692,6.592,2.564
Puskesmas Sawahan Surabaya,7.932,8.399,1.076,2.598,8.082,4.567,6.826,7.101,6.325,3.817,1.793,1.85,0.0,5.552,8.316,8.399,4.168
Puskesmas Sidosermo Surabaya,2.424,7.727,5.585,5.488,5.315,1.99,2.703,5.114,5.292,1.762,4.124,4.663,5.552,0.0,4.215,7.727,2.829
Puskesmas Siwalankerto Surabaya,4.372,5.218,7.818,6.852,1.977,3.83,1.616,2.763,3.753,5.406,6.529,6.692,8.316,4.215,0.0,5.218,4.157
Puskesmas Wiyung Surabaya,9.079,0.0,7.418,5.876,3.248,5.994,5.547,2.718,2.503,7.764,6.95,6.592,8.399,7.727,5.218,0.0,5.449
Puskesmas Wonokromo Surabaya,5.03,5.449,3.685,2.981,4.073,0.856,2.745,3.299,2.956,2.324,2.376,2.564,4.168,2.829,4.157,5.449,0.0
