,UPTD Gudang Farmasi Surabaya,Puskesmas Gading Surabaya,Puskesmas Gunung Anyar Surabaya,Puskesmas Kalijudan Surabaya,Puskesmas Kalirungkut Surabaya,Puskesmas Keputih Surabaya,Puskesmas Klampis Ngasem Surabaya,Puskesmas Medokan Ayu Surabaya,Puskesmas Menur Surabaya,Puskesmas Mojo Surabaya,Puskesmas Mulyorejo Surabaya,Puskesmas Pacar Keling Surabaya,Puskesmas Pucang Sewu Surabaya,Puskesmas Rangkah Surabaya,Puskesmas Tenggilis Surabaya
UPTD Gudang Farmasi Surabaya,0.0,8.866,2.457,7.21,0.107,4.569,3.739,2.575,2.926,5.684,6.959,7.268,4.334,8.417,1.062
Puskesmas Gading Surabaya,8.866,0.0,11.099,2.258,8.848,7.065,5.402,9.635,6.014,3.23,3.049,1.633,4.967,0.55,8.836
Puskesmas Gunung Anyar Surabaya,2.457,11.099,0.0,9.254,2.523,5.549,5.75,2.234,5.324,7.871,8.863,9.546,6.771,10.618,3.161
Puskesmas Kalijudan Surabaya,7.21,2.258,9.254,0.0,7.213,4.83,3.513,7.595,4.619,1.692,0.83,1.693,4.073,1.71,7.396
Puskesmas Kalirungkut Surabaya,0.107,8.848,2.523,7.213,0.0,4.642,3.755,2.681,2.891,5.675,6.974,7.246,4.284,8.404,0.955
Puskesmas Keputih Surabaya,4.569,7.065,5.549,4.83,4.642,0.0,2.637,3.398,4.156,4.276,4.137,5.941,5.183,6.516,5.396
Puskesmas Klampis Ngasem Surabaya,3.739,5.402,5.75,3.513,3.755,2.637,0.0,4.257,1.78,2.189,3.22,3.942,2.551,4.899,4.093
Puskesmas Medokan Ayu Surabaya,2.575,9.635,2.234,7.595,2.681,3.398,4.257,0.0,4.517,6.444,7.083,8.199,6.004,9.117,3.634
Puskesmas Menur Surabaya,2.926,6.014,5.324,4.619,2.891,4.156,1.78,4.517,0.0,2.96,4.589,4.392,1.497,5.601,2.83
Puskesmas Mojo Surabaya,5.684,3.23,7.871,1.692,5.675,4.276,2.189,6.444,2.96,0.0,1.906,1.763,2.422,2.749,5.772
Puskesmas Mulyorejo Surabaya,6.959,3.049,8.863,0.83,6.974,4.137,3.22,7.083,4.589,1.906,0.0,2.468,4.313,2.507,7.261
Puskesmas Pacar Keling Surabaya,7.268,1.633,9.546,1.693,7.246,5.941,3.942,8.199,4.392,1.763,2.468,0.0,3.346,1.304,7.207
Puskesmas Pucang Sewu Surabaya,4.334,4.967,6.771,4.073,4.284,5.183,2.551,6.004,1.497,2.422,4.313,3.346,0.0,4.639,4.022
Puskesmas Rangkah Surabaya,8.417,0.55,10.618,1.71,8.404,6.516,4.899,9.117,5.601,2.749,2.507,1.304,4.639,0.0,8.43
Puskesmas Tenggilis Surabaya,1.062,8.836,3.161,7.396,0.955,5.396,4.093,3.634,2.83,5.772,7.261,7.207,4.022,8.43,0.0
