,UPTD Gudang Farmasi Surabaya,Puskesmas Bulak Banteng Surabaya,Puskesmas Dupak Surabaya,Puskesmas Kenjeran Surabaya,Puskesmas Krembangan Selatan Surabaya,Puskesmas Moro Krembangan Surabaya,Puskesmas Pegirian Surabaya,Puskesmas Perak Timur Surabaya,Puskesmas Sawah Pulo Surabaya,Puskesmas Sidotopo Surabaya,Puskesmas Sidotopo Wetan Surabaya,Puskesmas Tambak Wedi Surabaya,Puskesmas Tanah Kali Kedinding Surabaya,Puskesmas Wonokusumo Surabaya
UPTD Gudang Farmasi Surabaya,0.0,11.572,10.968,9.347,10.833,11.684,11.142,11.716,11.4,10.561,10.622,11.591,10.169,11.545
Puskesmas Bulak Banteng Surabaya,11.572,0.0,5.915,4.112,4.225,6.235,2.268,3.447,2.45,2.646,1.02,0.677,1.66,1.529
Puskesmas Dupak Surabaya,10.968,5.915,0.0,8.618,1.69,0.734,3.657,2.723,3.537,3.314,5.298,6.552,6.395,4.465
Puskesmas Kenjeran Surabaya,9.347,4.112,8.618,0.0,7.131,9.175,5.644,6.912,5.944,5.584,3.86,3.635,2.587,5.28
Puskesmas Krembangan Selatan Surabaya,10.833,4.225,1.69,7.131,0.0,2.082,1.969,1.236,1.87,1.647,3.637,4.864,4.786,2.785
Puskesmas Moro Krembangan Surabaya,11.684,6.235,0.734,9.175,2.082,0.0,3.969,2.87,3.798,3.725,5.711,6.893,6.867,4.736
Puskesmas Pegirian Surabaya,11.142,2.268,3.657,5.644,1.969,3.969,0.0,1.282,0.319,0.642,1.844,2.924,3.109,0.831
Puskesmas Perak Timur Surabaya,11.716,3.447,2.723,6.912,1.236,2.87,1.282,0.0,1.017,1.426,3.126,4.121,4.39,1.919
Puskesmas Sawah Pulo Surabaya,11.4,2.45,3.537,5.944,1.87,3.798,0.319,1.017,0.0,0.844,2.121,3.119,3.395,0.938
Puskesmas Sidotopo Surabaya,10.561,2.646,3.314,5.584,1.647,3.725,0.642,1.426,0.844,0.0,1.99,3.256,3.157,1.393
Puskesmas Sidotopo Wetan Surabaya,10.622,1.02,5.298,3.86,3.637,5.711,1.844,3.126,2.121,1.99,0.0,1.408,1.282,1.431
Puskesmas Tambak Wedi Surabaya,11.591,0.677,6.552,3.635,4.864,6.893,2.924,4.121,3.119,3.256,1.408,0.0,1.444,2.205
Puskesmas Tanah Kali Kedinding Surabaya,10.169,1.66,6.395,2.587,4.786,6.867,3.109,4.39,3.395,3.157,1.282,1.444,0.0,2.694
Puskesmas Wonokusumo Surabaya,11.545,1.529,4.465,5.28,2.785,4.736,0.831,1.919,0.938,1.393,1.431,2.205,2.694,0.0
